,Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
963,Zip,01075,MA,Hampshire County,South Hadley,2022-02-28,5.6
964,Zip,01077,MA,Hampden County,Southwick,2022-02-28,5.4
965,Zip,01080,MA,Hampden County,Palmer,2022-02-28,7.6
966,Zip,01081,MA,Hampden County,Wales,2022-02-28,7.7
967,Zip,01082,MA,Hampshire County,Ware,2022-02-28,5.3
968,Zip,01083,MA,Worcester County,Warren,2022-02-28,7.1
969,Zip,01084,MA,Hampshire County,Chesterfield,2022-02-28,6.1
970,Zip,01085,MA,Hampden County,Westfield,2022-02-28,3.8
971,Zip,01088,MA,Hampshire County,Hatfield,2022-02-28,5.8
972,Zip,01089,MA,Hampden County,West Springfield,2022-02-28,2.8
973,Zip,01092,MA,Worcester County,Warren,2022-02-28,7.0
974,Zip,01093,MA,Franklin County,Whately,2022-02-28,7.7
975,Zip,01095,MA,Hampden County,Wilbraham,2022-02-28,5.5
976,Zip,01096,MA,Hampshire County,Williamsburg,2022-02-28,5.8
977,Zip,01097,MA,Hampden County,Russell,2022-02-28,6.7
978,Zip,01098,MA,Hampshire County,Worthington,2022-02-28,5.6
979,Zip,01101,MA,Hampden County,Springfield,2022-02-28,5.8
980,Zip,01103,MA,Hampden County,Springfield,2022-02-28,7.0
981,Zip,01104,MA,Hampden County,Springfield,2022-02-28,5.5
982,Zip,01105,MA,Hampden County,Springfield,2022-02-28,5.5
983,Zip,01106,MA,Hampden County,Longmeadow,2022-02-28,5.4
984,Zip,01107,MA,Hampden County,Springfield,2022-02-28,5.6
985,Zip,01108,MA,Hampden County,Springfield,2022-02-28,6.3
986,Zip,01109,MA,Hampden County,Springfield,2022-02-28,6.0
987,Zip,01118,MA,Hampden County,Springfield,2022-02-28,6.0
988,Zip,01119,MA,Hampden County,Springfield,2022-02-28,5.9
989,Zip,01128,MA,Hampden County,Springfield,2022-02-28,6.1
990,Zip,01129,MA,Hampden County,Springfield,2022-02-28,6.5
991,Zip,01151,MA,Hampden County,Springfield,2022-02-28,6.7
992,Zip,01201,MA,Berkshire County,Pittsfield,2022-02-28,6.1
993,Zip,01202,MA,Berkshire County,Pittsfield,2022-02-28,4.6
994,Zip,01220,MA,Berkshire County,Adams,2022-02-28,6.2
995,Zip,01222,MA,Berkshire County,Sheffield,2022-02-28,4.9
996,Zip,01223,MA,Berkshire County,Becket,2022-02-28,6.3
997,Zip,01224,MA,Berkshire County,Lanesboro,2022-02-28,6.7
998,Zip,01225,MA,Berkshire County,Cheshire,2022-02-28,5.3
999,Zip,01226,MA,Berkshire County,Dalton,2022-02-28,5.8
1000,Zip,01230,MA,Berkshire County,Great Barrington,2022-02-28,6.0
1001,Zip,01235,MA,Berkshire County,Hinsdale,2022-02-28,5.4
1002,Zip,01236,MA,Berkshire County,West Stockbridge,2022-02-28,6.4
1003,Zip,01237,MA,Berkshire County,Lanesboro,2022-02-28,7.0
1004,Zip,01238,MA,Berkshire County,Lee,2022-02-28,6.0
1005,Zip,01240,MA,Berkshire County,Lenox,2022-02-28,5.9
1006,Zip,01242,MA,Berkshire County,Lenox,2022-02-28,7.2
1007,Zip,01243,MA,Hampshire County,Middlefield,2022-02-28,6.6
1008,Zip,01245,MA,Berkshire County,Monterey,2022-02-28,7.0
1009,Zip,01247,MA,Berkshire County,North Adams,2022-02-28,6.6
1010,Zip,01253,MA,Berkshire County,Otis,2022-02-28,5.5
1011,Zip,01254,MA,Berkshire County,Richmond,2022-02-28,7.0
1012,Zip,01255,MA,Berkshire County,Sandisfield,2022-02-28,3.9
1013,Zip,01256,MA,Berkshire County,Savoy,2022-02-28,3.8
1014,Zip,01257,MA,Berkshire County,Sheffield,2022-02-28,5.5
1015,Zip,01258,MA,Berkshire County,Mount Washington,2022-02-28,5.4
1016,Zip,01259,MA,Berkshire County,New Marlborough,2022-02-28,5.7
1017,Zip,01262,MA,Berkshire County,Stockbridge,2022-02-28,4.6
1018,Zip,01264,MA,Berkshire County,Tyringham,2022-02-28,6.6
1019,Zip,01266,MA,Berkshire County,West Stockbridge,2022-02-28,5.2
1020,Zip,01267,MA,Berkshire County,Williamstown,2022-02-28,6.6
1021,Zip,01270,MA,Berkshire County,Windsor,2022-02-28,5.7
1022,Zip,01301,MA,Franklin County,Greenfield,2022-02-28,8.1
1023,Zip,01330,MA,Franklin County,Ashfield,2022-02-28,8.5
1024,Zip,01331,MA,Worcester County,Athol,2022-02-28,8.1
1025,Zip,01337,MA,Franklin County,Bernardston,2022-02-28,8.1
1026,Zip,01338,MA,Franklin County,Buckland,2022-02-28,8.4
1027,Zip,01339,MA,Franklin County,Charlemont,2022-02-28,8.0
1028,Zip,01340,MA,Franklin County,Colrain,2022-02-28,8.5
1029,Zip,01341,MA,Franklin County,Conway,2022-02-28,7.7
1030,Zip,01342,MA,Franklin County,Deerfield,2022-02-28,7.7
1031,Zip,01343,MA,Berkshire County,Florida,2022-02-28,1.9
1032,Zip,01344,MA,Franklin County,Erving,2022-02-28,7.1
1033,Zip,01346,MA,Franklin County,Heath,2022-02-28,8.2
1034,Zip,01347,MA,Franklin County,Montague,2022-02-28,11.7
1035,Zip,01349,MA,Franklin County,Millers Falls,2022-02-28,10.1
1036,Zip,01350,MA,Franklin County,Monroe,2022-02-28,7.0
1037,Zip,01351,MA,Franklin County,Montague,2022-02-28,8.9
1038,Zip,01354,MA,Franklin County,Gill,2022-02-28,7.5
1039,Zip,01355,MA,Franklin County,New Salem,2022-02-28,8.4
1040,Zip,01360,MA,Franklin County,Northfield,2022-02-28,8.1
1041,Zip,01364,MA,Franklin County,Orange,2022-02-28,8.7
1042,Zip,01366,MA,Worcester County,Petersham,2022-02-28,6.9
1043,Zip,01367,MA,Franklin County,Rowe,2022-02-28,8.3
1044,Zip,01368,MA,Worcester County,Royalston,2022-02-28,7.8
1045,Zip,01370,MA,Franklin County,Shelburne,2022-02-28,8.0
1046,Zip,01373,MA,Franklin County,South Deerfield,2022-02-28,8.0
1047,Zip,01375,MA,Franklin County,Sunderland,2022-02-28,8.2
1048,Zip,01376,MA,Franklin County,Turners Falls,2022-02-28,8.4
1049,Zip,01378,MA,Franklin County,Warwick,2022-02-28,8.4
1050,Zip,01379,MA,Franklin County,Wendell,2022-02-28,7.7
1051,Zip,01420,MA,Worcester County,Fitchburg,2022-02-28,6.9
1052,Zip,01430,MA,Worcester County,Ashburnham,2022-02-28,6.0
1053,Zip,01431,MA,Middlesex County,Ashby,2022-02-28,6.8
1054,Zip,01432,MA,Middlesex County,Ayer,2022-02-28,7.0
1055,Zip,01434,MA,Worcester County,Devens,2022-02-28,6.8
1056,Zip,01436,MA,Worcester County,Baldwinville,2022-02-28,6.7
1057,Zip,01440,MA,Worcester County,Gardner,2022-02-28,7.4
1058,Zip,01450,MA,Middlesex County,Groton,2022-02-28,6.5
1059,Zip,01451,MA,Worcester County,Harvard,2022-02-28,5.2
1060,Zip,01452,MA,Worcester County,Hubbardston,2022-02-28,6.7
1061,Zip,01453,MA,Worcester County,Leominster,2022-02-28,7.1
1062,Zip,01460,MA,Middlesex County,Littleton,2022-02-28,6.7
1063,Zip,01462,MA,Worcester County,Lunenburg,2022-02-28,6.2
1064,Zip,01463,MA,Middlesex County,Pepperell,2022-02-28,6.5
1065,Zip,01464,MA,Middlesex County,Shirley,2022-02-28,6.5
1066,Zip,01468,MA,Worcester County,Templeton,2022-02-28,7.4
1067,Zip,01469,MA,Middlesex County,Townsend,2022-02-28,6.8
1068,Zip,01470,MA,Middlesex County,Groton,2022-02-28,6.8
1069,Zip,01473,MA,Worcester County,Westminster,2022-02-28,6.6
1070,Zip,01474,MA,Middlesex County,Townsend,2022-02-28,6.2
1071,Zip,01475,MA,Worcester County,Winchendon,2022-02-28,6.3
1072,Zip,01501,MA,Worcester County,Auburn,2022-02-28,7.3
1073,Zip,01503,MA,Worcester County,Berlin,2022-02-28,6.4
1074,Zip,01504,MA,Worcester County,Blackstone,2022-02-28,7.3
1075,Zip,01505,MA,Worcester County,Boylston,2022-02-28,6.2
1076,Zip,01506,MA,Worcester County,Brookfield,2022-02-28,-0.1
1077,Zip,01507,MA,Worcester County,Charlton,2022-02-28,6.5
1078,Zip,01510,MA,Worcester County,Clinton,2022-02-28,6.5
1079,Zip,01515,MA,Worcester County,East Brookfield,2022-02-28,6.5
1080,Zip,01516,MA,Worcester County,Douglas,2022-02-28,7.5
1081,Zip,01518,MA,Worcester County,Fiskdale,2022-02-28,6.9
1082,Zip,01519,MA,Worcester County,Grafton,2022-02-28,6.4
1083,Zip,01520,MA,Worcester County,Holden,2022-02-28,5.2
1084,Zip,01521,MA,Hampden County,Holland,2022-02-28,6.6
1085,Zip,01522,MA,Worcester County,Holden,2022-02-28,9.0
1086,Zip,01523,MA,Worcester County,Lancaster,2022-02-28,6.5
1087,Zip,01524,MA,Worcester County,Leicester,2022-02-28,6.7
1088,Zip,01527,MA,Worcester County,Millbury,2022-02-28,6.1
1089,Zip,01529,MA,Worcester County,Millville,2022-02-28,7.3
1090,Zip,01531,MA,Worcester County,New Braintree,2022-02-28,7.0
1091,Zip,01532,MA,Worcester County,Northborough,2022-02-28,6.1
1092,Zip,01534,MA,Worcester County,Northbridge,2022-02-28,6.2
1093,Zip,01535,MA,Worcester County,North Brookfield,2022-02-28,4.5
1094,Zip,01536,MA,Worcester County,Grafton,2022-02-28,5.8
1095,Zip,01537,MA,Worcester County,Oxford,2022-02-28,7.5
1096,Zip,01540,MA,Worcester County,Oxford,2022-02-28,7.5
1097,Zip,01541,MA,Worcester County,Princeton,2022-02-28,5.9
1098,Zip,01542,MA,Worcester County,Leicester,2022-02-28,6.6
1099,Zip,01543,MA,Worcester County,Rutland,2022-02-28,6.9
1100,Zip,01545,MA,Worcester County,Shrewsbury,2022-02-28,8.6
1101,Zip,01550,MA,Worcester County,Southbridge,2022-02-28,7.4
1102,Zip,01560,MA,Worcester County,Grafton,2022-02-28,5.9
1103,Zip,01562,MA,Worcester County,Spencer,2022-02-28,9.0
1104,Zip,01564,MA,Worcester County,Sterling,2022-02-28,6.4
1105,Zip,01566,MA,Worcester County,Sturbridge,2022-02-28,6.4
1106,Zip,01568,MA,Worcester County,Upton,2022-02-28,7.7
1107,Zip,01569,MA,Worcester County,Uxbridge,2022-02-28,6.5
1108,Zip,01570,MA,Worcester County,Webster,2022-02-28,7.1
1109,Zip,01571,MA,Worcester County,Dudley,2022-02-28,7.1
1110,Zip,01581,MA,Worcester County,Westborough,2022-02-28,5.9
1111,Zip,01583,MA,Worcester County,West Boylston,2022-02-28,6.4
1112,Zip,01585,MA,Worcester County,West Brookfield,2022-02-28,8.0
1113,Zip,01588,MA,Worcester County,Northbridge,2022-02-28,6.5
1114,Zip,01590,MA,Worcester County,Sutton,2022-02-28,5.9
1115,Zip,01602,MA,Worcester County,Worcester,2022-02-28,7.2
1116,Zip,01603,MA,Worcester County,Worcester,2022-02-28,7.7
1117,Zip,01604,MA,Worcester County,Worcester,2022-02-28,7.2
1118,Zip,01605,MA,Worcester County,Worcester,2022-02-28,7.2
1119,Zip,01606,MA,Worcester County,Worcester,2022-02-28,7.1
1120,Zip,01607,MA,Worcester County,Worcester,2022-02-28,6.8
1121,Zip,01608,MA,Worcester County,Worcester,2022-02-28,8.2
1122,Zip,01609,MA,Worcester County,Worcester,2022-02-28,7.1
1123,Zip,01610,MA,Worcester County,Worcester,2022-02-28,7.9
1124,Zip,01611,MA,Worcester County,Leicester,2022-02-28,7.0
1125,Zip,01612,MA,Worcester County,Paxton,2022-02-28,6.0
1126,Zip,01613,MA,Worcester County,Worcester,2022-02-28,8.5
1127,Zip,01701,MA,Middlesex County,Framingham,2022-02-28,7.4
1128,Zip,01702,MA,Middlesex County,Framingham,2022-02-28,5.7
1129,Zip,01718,MA,Middlesex County,Acton,2022-02-28,5.3
1130,Zip,01719,MA,Middlesex County,Boxboro,2022-02-28,7.4
1131,Zip,01720,MA,Middlesex County,Acton,2022-02-28,5.8
1132,Zip,01721,MA,Middlesex County,Ashland,2022-02-28,6.6
1133,Zip,01730,MA,Middlesex County,Bedford,2022-02-28,4.4
1134,Zip,01740,MA,Worcester County,Bolton,2022-02-28,6.0
1135,Zip,01741,MA,Middlesex County,Carlisle,2022-02-28,3.2
1136,Zip,01742,MA,Middlesex County,Concord,2022-02-28,6.6
1137,Zip,01745,MA,Worcester County,Southborough,2022-02-28,6.5
1138,Zip,01746,MA,Middlesex County,Holliston,2022-02-28,6.2
1139,Zip,01747,MA,Worcester County,Hopedale,2022-02-28,6.8
1140,Zip,01748,MA,Middlesex County,Hopkinton,2022-02-28,6.6
1141,Zip,01749,MA,Middlesex County,Hudson,2022-02-28,6.4
1142,Zip,01752,MA,Middlesex County,Marlborough,2022-02-28,6.4
1143,Zip,01754,MA,Middlesex County,Maynard,2022-02-28,6.6
1144,Zip,01756,MA,Worcester County,Mendon,2022-02-28,6.4
1145,Zip,01757,MA,Worcester County,Milford,2022-02-28,6.1
1146,Zip,01760,MA,Middlesex County,Natick,2022-02-28,5.1
1147,Zip,01770,MA,Middlesex County,Sherborn,2022-02-28,6.0
1148,Zip,01772,MA,Worcester County,Southborough,2022-02-28,6.0
1149,Zip,01773,MA,Middlesex County,Lincoln,2022-02-28,5.4
1150,Zip,01775,MA,Middlesex County,Stow,2022-02-28,5.9
1151,Zip,01776,MA,Middlesex County,Sudbury,2022-02-28,6.1
1152,Zip,01778,MA,Middlesex County,Wayland,2022-02-28,6.9
1153,Zip,01801,MA,Middlesex County,Woburn,2022-02-28,5.8
1154,Zip,01803,MA,Middlesex County,Burlington,2022-02-28,5.7
1155,Zip,01810,MA,Essex County,Andover,2022-02-28,6.5
1156,Zip,01821,MA,Middlesex County,Billerica,2022-02-28,6.9
1157,Zip,01824,MA,Middlesex County,Chelmsford,2022-02-28,6.4
1158,Zip,01826,MA,Middlesex County,Dracut,2022-02-28,6.7
1159,Zip,01827,MA,Middlesex County,Dunstable,2022-02-28,6.0
1160,Zip,01830,MA,Essex County,Haverhill,2022-02-28,7.3
1161,Zip,01832,MA,Essex County,Haverhill,2022-02-28,7.4
1162,Zip,01833,MA,Essex County,Georgetown,2022-02-28,6.9
1163,Zip,01834,MA,Essex County,Groveland,2022-02-28,6.9
1164,Zip,01835,MA,Essex County,Haverhill,2022-02-28,7.0
1165,Zip,01840,MA,Essex County,Lawrence,2022-02-28,-0.5
1166,Zip,01841,MA,Essex County,Lawrence,2022-02-28,6.3
1167,Zip,01842,MA,Essex County,Lawrence,2022-02-28,8.6
1168,Zip,01843,MA,Essex County,Lawrence,2022-02-28,7.1
1169,Zip,01844,MA,Essex County,Methuen,2022-02-28,7.4
1170,Zip,01845,MA,Essex County,North Andover,2022-02-28,6.4
1171,Zip,01850,MA,Middlesex County,Lowell,2022-02-28,6.7
1172,Zip,01851,MA,Middlesex County,Lowell,2022-02-28,7.4
1173,Zip,01852,MA,Middlesex County,Lowell,2022-02-28,5.9
1174,Zip,01854,MA,Middlesex County,Lowell,2022-02-28,7.4
1175,Zip,01860,MA,Essex County,Merrimac,2022-02-28,6.6
1176,Zip,01862,MA,Middlesex County,Billerica,2022-02-28,7.1
1177,Zip,01863,MA,Middlesex County,Chelmsford,2022-02-28,6.3
1178,Zip,01864,MA,Middlesex County,North Reading,2022-02-28,5.1
1179,Zip,01867,MA,Middlesex County,Reading,2022-02-28,6.6
1180,Zip,01876,MA,Middlesex County,Tewksbury,2022-02-28,6.5
1181,Zip,01879,MA,Middlesex County,Tyngsboro,2022-02-28,6.8
1182,Zip,01880,MA,Middlesex County,Wakefield,2022-02-28,7.1
1183,Zip,01886,MA,Middlesex County,Westford,2022-02-28,5.7
1184,Zip,01887,MA,Middlesex County,Wilmington,2022-02-28,5.9
1185,Zip,01890,MA,Middlesex County,Winchester,2022-02-28,5.7
1186,Zip,01901,MA,Essex County,Lynn,2022-02-28,6.0
1187,Zip,01902,MA,Essex County,Lynn,2022-02-28,6.7
1188,Zip,01904,MA,Essex County,Lynn,2022-02-28,6.0
1189,Zip,01905,MA,Essex County,Lynn,2022-02-28,6.2
1190,Zip,01906,MA,Essex County,Saugus,2022-02-28,6.2
1191,Zip,01907,MA,Essex County,Swampscott,2022-02-28,7.6
1192,Zip,01908,MA,Essex County,Nahant,2022-02-28,5.2
1193,Zip,01913,MA,Essex County,Amesbury,2022-02-28,6.5
1194,Zip,01915,MA,Essex County,Beverly,2022-02-28,6.7
1195,Zip,01921,MA,Essex County,Boxford,2022-02-28,7.2
1196,Zip,01922,MA,Essex County,Newbury,2022-02-28,6.0
1197,Zip,01923,MA,Essex County,Danvers,2022-02-28,6.6
1198,Zip,01929,MA,Essex County,Essex,2022-02-28,5.4
1199,Zip,01930,MA,Essex County,Gloucester,2022-02-28,6.6
1200,Zip,01938,MA,Essex County,Ipswich,2022-02-28,6.1
1201,Zip,01940,MA,Essex County,Lynnfield,2022-02-28,6.8
1202,Zip,01944,MA,Essex County,Manchester,2022-02-28,7.1
1203,Zip,01945,MA,Essex County,Marblehead,2022-02-28,5.6
1204,Zip,01949,MA,Essex County,Middleton,2022-02-28,5.9
1205,Zip,01950,MA,Essex County,Newburyport,2022-02-28,6.5
1206,Zip,01951,MA,Essex County,Newbury,2022-02-28,5.5
1207,Zip,01952,MA,Essex County,Salisbury,2022-02-28,6.8
1208,Zip,01960,MA,Essex County,Peabody,2022-02-28,6.4
1209,Zip,01966,MA,Essex County,Rockport,2022-02-28,6.2
1210,Zip,01969,MA,Essex County,Rowley,2022-02-28,6.3
1211,Zip,01970,MA,Essex County,Salem,2022-02-28,6.3
1212,Zip,01982,MA,Essex County,Hamilton,2022-02-28,5.8
1213,Zip,01983,MA,Essex County,Topsfield,2022-02-28,6.5
1214,Zip,01984,MA,Essex County,Wenham,2022-02-28,6.7
1215,Zip,01985,MA,Essex County,West Newbury,2022-02-28,6.6
1216,Zip,02019,MA,Norfolk County,Bellingham,2022-02-28,5.4
1217,Zip,02020,MA,Plymouth County,Marshfield,2022-02-28,8.0
1218,Zip,02021,MA,Norfolk County,Canton,2022-02-28,6.4
1219,Zip,02025,MA,Norfolk County,Cohasset,2022-02-28,6.0
1220,Zip,02026,MA,Norfolk County,Dedham,2022-02-28,5.8
1221,Zip,02030,MA,Norfolk County,Dover,2022-02-28,5.5
1222,Zip,02032,MA,Norfolk County,Walpole,2022-02-28,5.5
1223,Zip,02035,MA,Norfolk County,Foxborough,2022-02-28,6.1
1224,Zip,02038,MA,Norfolk County,Franklin,2022-02-28,5.7
1225,Zip,02043,MA,Plymouth County,Hingham,2022-02-28,6.4
1226,Zip,02045,MA,Plymouth County,Hull,2022-02-28,7.6
1227,Zip,02047,MA,Plymouth County,Scituate,2022-02-28,5.5
1228,Zip,02048,MA,Bristol County,Mansfield,2022-02-28,6.1
1229,Zip,02050,MA,Plymouth County,Marshfield,2022-02-28,7.7
1230,Zip,02051,MA,Plymouth County,Marshfield,2022-02-28,5.6
1231,Zip,02052,MA,Norfolk County,Medfield,2022-02-28,6.3
1232,Zip,02053,MA,Norfolk County,Medway,2022-02-28,6.3
1233,Zip,02054,MA,Norfolk County,Millis,2022-02-28,6.5
1234,Zip,02056,MA,Norfolk County,Norfolk,2022-02-28,6.1
1235,Zip,02059,MA,Plymouth County,Marshfield,2022-02-28,3.7
1236,Zip,02061,MA,Plymouth County,Norwell,2022-02-28,6.7
1237,Zip,02062,MA,Norfolk County,Norwood,2022-02-28,6.8
1238,Zip,02066,MA,Plymouth County,Scituate,2022-02-28,6.2
1239,Zip,02067,MA,Norfolk County,Sharon,2022-02-28,5.8
1240,Zip,02071,MA,Norfolk County,Walpole,2022-02-28,5.4
1241,Zip,02072,MA,Norfolk County,Stoughton,2022-02-28,7.0
1242,Zip,02081,MA,Norfolk County,Walpole,2022-02-28,5.7
1243,Zip,02090,MA,Norfolk County,Westwood,2022-02-28,5.4
1244,Zip,02093,MA,Norfolk County,Wrentham,2022-02-28,7.8
1245,Zip,02108,MA,Suffolk County,Boston,2022-02-28,3.3
1246,Zip,02109,MA,Suffolk County,Boston,2022-02-28,2.9
1247,Zip,02110,MA,Suffolk County,Boston,2022-02-28,2.8
1248,Zip,02111,MA,Suffolk County,Boston,2022-02-28,2.5
1249,Zip,02113,MA,Suffolk County,Boston,2022-02-28,3.4
1250,Zip,02114,MA,Suffolk County,Boston,2022-02-28,3.2
1251,Zip,02115,MA,Suffolk County,Boston,2022-02-28,3.0
1252,Zip,02116,MA,Suffolk County,Boston,2022-02-28,3.3
1253,Zip,02118,MA,Suffolk County,Boston,2022-02-28,3.8
1254,Zip,02119,MA,Suffolk County,Boston,2022-02-28,4.6
1255,Zip,02120,MA,Suffolk County,Boston,2022-02-28,3.1
1256,Zip,02121,MA,Suffolk County,Boston,2022-02-28,5.9
1257,Zip,02122,MA,Suffolk County,Boston,2022-02-28,4.0
1258,Zip,02124,MA,Suffolk County,Boston,2022-02-28,4.4
1259,Zip,02125,MA,Suffolk County,Boston,2022-02-28,4.2
1260,Zip,02126,MA,Suffolk County,Boston,2022-02-28,3.8
1261,Zip,02127,MA,Suffolk County,Boston,2022-02-28,3.2
1262,Zip,02128,MA,Suffolk County,Boston,2022-02-28,3.0
1263,Zip,02129,MA,Suffolk County,Boston,2022-02-28,3.4
1264,Zip,02130,MA,Suffolk County,Boston,2022-02-28,3.9
1265,Zip,02131,MA,Suffolk County,Boston,2022-02-28,4.2
1266,Zip,02132,MA,Suffolk County,Boston,2022-02-28,4.1
1267,Zip,02134,MA,Suffolk County,Boston,2022-02-28,3.7
1268,Zip,02135,MA,Suffolk County,Boston,2022-02-28,2.9
1269,Zip,02136,MA,Suffolk County,Boston,2022-02-28,4.8
1270,Zip,02138,MA,Middlesex County,Cambridge,2022-02-28,5.0
1271,Zip,02139,MA,Middlesex County,Cambridge,2022-02-28,4.8
1272,Zip,02140,MA,Middlesex County,Cambridge,2022-02-28,5.1
1273,Zip,02141,MA,Middlesex County,Cambridge,2022-02-28,4.9
1274,Zip,02142,MA,Middlesex County,Cambridge,2022-02-28,5.5
1275,Zip,02143,MA,Middlesex County,Somerville,2022-02-28,3.4
1276,Zip,02144,MA,Middlesex County,Somerville,2022-02-28,4.5
1277,Zip,02145,MA,Middlesex County,Somerville,2022-02-28,4.4
1278,Zip,02148,MA,Middlesex County,Malden,2022-02-28,4.6
1279,Zip,02149,MA,Middlesex County,Everett,2022-02-28,4.8
1280,Zip,02150,MA,Suffolk County,Chelsea,2022-02-28,3.9
1281,Zip,02151,MA,Suffolk County,Revere,2022-02-28,4.3
1282,Zip,02152,MA,Suffolk County,Winthrop,2022-02-28,4.9
1283,Zip,02155,MA,Middlesex County,Medford,2022-02-28,4.9
1284,Zip,02169,MA,Norfolk County,Quincy,2022-02-28,6.0
1285,Zip,02170,MA,Norfolk County,Quincy,2022-02-28,5.8
1286,Zip,02171,MA,Norfolk County,Quincy,2022-02-28,6.0
1287,Zip,02176,MA,Middlesex County,Melrose,2022-02-28,5.5
1288,Zip,02180,MA,Middlesex County,Stoneham,2022-02-28,5.0
1289,Zip,02184,MA,Norfolk County,Braintree,2022-02-28,9.5
1290,Zip,02186,MA,Norfolk County,Milton,2022-02-28,5.5
1291,Zip,02188,MA,Norfolk County,Weymouth,2022-02-28,6.3
1292,Zip,02189,MA,Norfolk County,Weymouth,2022-02-28,6.6
1293,Zip,02190,MA,Norfolk County,Weymouth,2022-02-28,6.2
1294,Zip,02191,MA,Norfolk County,Weymouth,2022-02-28,6.2
1295,Zip,02199,MA,Suffolk County,Boston,2022-02-28,2.3
1296,Zip,02210,MA,Suffolk County,Boston,2022-02-28,2.9
1297,Zip,02215,MA,Suffolk County,Boston,2022-02-28,3.3
1298,Zip,02301,MA,Plymouth County,Brockton,2022-02-28,7.0
1299,Zip,02302,MA,Plymouth County,Brockton,2022-02-28,6.7
1300,Zip,02303,MA,Plymouth County,Brockton,2022-02-28,6.8
1301,Zip,02322,MA,Norfolk County,Avon,2022-02-28,8.1
